Precip_Date,Days,Date_bin,Precip_avg(mm)
2002-10-21,day_before,0,0.030363407374074076
2003-01-18,day_before,0,0.2700501171987804
2003-03-08,day_before,0,0.14611244592068404
2003-09-14,day_before,0,4.945026422385314
2003-10-29,day_before,0,0.15879622738960472
2004-10-04,day_before,0,1.369726184434463
2005-01-10,day_before,0,0.12788833577996786
2005-01-16,day_before,0,0.5927901044642165
2005-11-03,day_before,0,1.552670465411056
2006-07-17,day_before,0,1.0802707040784227
2006-10-27,day_before,0,1.653672857733739
2006-10-31,day_before,0,0.5999145812349186
2006-11-12,day_before,0,0.22322805478637175
2006-11-16,day_before,0,3.725786210817176
2007-04-12,day_before,0,0.10051293300934194
2007-07-05,day_before,0,0.3817444496639882
2007-08-26,day_before,0,0.0036663710765624997
2007-10-23,day_before,0,0.06861538613440074
2007-12-08,day_before,0,4.159792203596734
2008-12-21,day_before,0,27.18093028895713
2009-01-15,day_before,0,0.2921240895403402
2009-01-21,day_before,0,0.023891291298591886
2009-01-29,day_before,0,0.005199986287203249
2009-02-16,day_before,0,19.54532668852368
2009-02-27,day_before,0,0.001645857093346491
2009-03-27,day_before,0,3.225391290163276
2009-06-20,day_before,0,0.02590979422542152
2009-07-04,day_before,0,0.19038898255000003
2009-08-04,day_before,0,0.16961553316589126
2009-09-10,day_before,0,0.00043550070280748665
2009-09-19,day_before,0,0.10877060534477576
2009-09-29,day_before,0,0.0013564214583333333
2009-10-12,day_before,0,0.006836994038666664
2009-10-24,day_before,0,0.00042909910643707086
2009-10-28,day_before,0,0.4163963880484191
2009-11-03,day_before,0,0.2426573837966553
2009-12-24,day_before,0,18.302375054804724
2010-01-02,day_before,0,0.07384744798023216
2010-01-07,day_before,0,0.00045083659119505486
2010-01-11,day_before,0,17.740032072447466
2010-01-23,day_before,0,0.15019584453812204
2010-02-08,day_before,0,1.2907213794858692
2010-03-22,day_before,0,0.45422434475422796
2010-04-18,day_before,0,1.9621919682450502
2010-08-17,day_before,0,0.0324978557930014
2010-11-30,day_before,0,2.220786367491786
2010-12-22,day_before,0,0.08701171707236123
2011-01-11,day_before,0,0.12444896195031581
2011-11-01,day_before,0,20.42326844386891
2012-10-22,day_before,0,0.03193989882778489
2012-11-06,day_before,0,0.8985925075966661
2012-12-03,day_before,0,0.3926038707815021
2013-11-07,day_before,0,0.24928750884982132
2013-11-15,day_before,0,0.27212311906466685
2014-10-27,day_before,0,0.057661252279557096
2015-03-31,day_before,0,0.20588475472431655
2015-04-23,day_before,0,0.007645591490514955
2015-05-19,day_before,0,0.7243037148489544
2015-11-12,day_before,0,8.707533097462449
2016-02-19,day_before,0,0.4227037928719657
2016-10-05,day_before,0,0.013830856326464651
2016-10-22,day_before,0,1.8499117948469201
2017-11-06,day_before,0,4.953874817830781
2018-01-19,day_before,0,0.0856255433
2018-01-27,day_before,0,0.12533218759999998
2018-02-02,day_before,0,0.008773392200806456
2018-02-16,day_before,0,0.006783303729192203
2018-05-07,day_before,0,0.22832676419550726
2018-10-30,day_before,0,0.07019111536009123
2019-02-24,day_before,0,0.017651401229689664
2019-03-25,day_before,0,0.3305441950996685
2019-11-08,day_before,0,0.15885996320713994
